"start_id","end_id"
"REG_GDPR","G020"
"REG_GDPR","G024"
"REG_GDPR","G033"
"REG_GDPR","G039"
"REG_GDPR","G073"
"REG_GDPR","G088"
"REG_GDPR","G089"
"REG_GDPR","G092"
"REG_GDPR","G113"
"REG_GDPR","G121"
"REG_GDPR","G125"
"REG_GDPR","G126"
"REG_GDPR","G127"
"REG_GDPR","G131"
"REG_GDPR","G136"
"REG_GDPR","G139"
"REG_GDPR","G142"
"REG_GDPR","G145"
"REG_GDPR","G146"
"REG_GDPR","G147"
"REG_AIACT","A013"
"REG_AIACT","A023"
"REG_AIACT","A043"
"REG_AIACT","A123"
"REG_AIACT","A147"
"REG_AIACT","A162"
"REG_AIACT","A183"
"REG_AIACT","A191"
"REG_AIACT","A197"
"REG_AIACT","A204"
"REG_AIACT","A208"
